name,department,gender,years_of_experience,position,num_publications,num_citations,salary
Norman Bartlett,Business and Management,male,62,Full Professor,71,9443,272201
David Alexander,Business and Management,male,34,Full Professor,81,9639,241182
Paul Greene,Business and Management,male,15,Full Professor,99,11979,244551
Wiley Kiely,Business and Management,male,0,Assistant Professor,34,4454,168442
Oscar Synder,Business and Management,male,9,Associate Professor,42,6174,180277
Micheal Sheppard,Business and Management,male,17,Associate Professor,61,8967,224825
Kevin Goffinet,Business and Management,male,60,Full Professor,80,11120,285558
Vincent Jones,Business and Management,male,1,Assistant Professor,37,5143,184445
Theodore Gaona,Business and Management,male,2,Assistant Professor,12,4680,161361
Harrison Mathis,Business and Management,male,19,Full Professor,90,6210,191965
John Lindholm,Business and Management,male,1,Assistant Professor,37,1591,130798
William Payne,Business and Management,male,23,Full Professor,72,1080,149187
Gerald Morrow,Business and Management,male,5,Assistant Professor,25,475,125978
Gregory Roberts,Business and Management,male,9,Associate Professor,51,2499,151745
Miguel Hernandez,Business and Management,male,33,Full Professor,85,30005,300000
Donald Smith,Business and Management,male,4,Assistant Professor,25,3025,147429
Angela Payne,Visual and Performing Arts,female,4,Assistant Professor,11,330,71907
Rebecca Willett,Visual and Performing Arts,female,15,Associate Professor,58,8178,177388
Elizabeth Amabile,Visual and Performing Arts,female,3,Assistant Professor,18,522,72755
Edwina Harris,Visual and Performing Arts,female,9,Associate Professor,47,2068,101842
Destiny Mcgown,Visual and Performing Arts,female,13,Associate Professor,56,4144,127776
Maria Stump,Visual and Performing Arts,female,15,Associate Professor,64,8384,166315
Debbie Macpherson,Visual and Performing Arts,female,17,Associate Professor,40,3880,127031
Jeannie Pedigo,Visual and Performing Arts,female,4,Assistant Professor,15,2040,99323
Kelsey Traughber,Visual and Performing Arts,female,14,Associate Professor,55,11330,206957
Helen Brill,Visual and Performing Arts,female,0,Assistant Professor,31,589,66037
Linda Romiro,Visual and Performing Arts,female,47,Full Professor,95,1805,129984
Cassandra Sweatman,Visual and Performing Arts,female,1,Assistant Professor,26,130,68859
Rose Olson,Visual and Performing Arts,female,29,Full Professor,86,6794,176414
Melissa Parker,Visual and Performing Arts,female,2,Assistant Professor,38,418,69198
Tina Booker,Visual and Performing Arts,female,0,Assistant Professor,29,232,64330
Judy Boulware,Visual and Performing Arts,female,18,Full Professor,89,267,87063
Donna Rice,Visual and Performing Arts,female,40,Full Professor,74,26122,300000
Wanda Lash,Visual and Performing Arts,female,8,Associate Professor,46,2024,103839
Ronda Poteat,Visual and Performing Arts,female,2,Assistant Professor,15,780,76055
Marjorie Aston,Visual and Performing Arts,female,0,Assistant Professor,33,495,81761
Pamela Rice,Visual and Performing Arts,female,3,Assistant Professor,13,65,63652
Wanda Kirk,Visual and Performing Arts,female,49,Full Professor,93,651,120862
Margaret Watson,Visual and Performing Arts,female,4,Assistant Professor,32,12480,196085
Alice Perry,Visual and Performing Arts,female,8,Associate Professor,46,2806,109177
Odessa Varillas,Visual and Performing Arts,female,3,Assistant Professor,35,10220,165293
Ruth Beltz,Visual and Performing Arts,female,25,Full Professor,80,10400,200102
Nancy Smith,Visual and Performing Arts,female,17,Full Professor,94,1786,110582
Mary Dixon,Visual and Performing Arts,female,1,Assistant Professor,13,4199,103743
Paul Cook,Visual and Performing Arts,male,11,Associate Professor,52,18356,247563
Edward Cerda,Visual and Performing Arts,male,62,Full Professor,83,8549,206347
Ronald Soledad,Visual and Performing Arts,male,4,Assistant Professor,20,540,74433
Edgar Flores,Visual and Performing Arts,male,9,Associate Professor,62,868,70817
Franklin Sancho,Visual and Performing Arts,male,37,Full Professor,76,1064,99865
David Helms,Visual and Performing Arts,male,30,Full Professor,80,25840,300000
Robert Washington,Visual and Performing Arts,male,13,Associate Professor,45,6345,129926
Jimmy Sanchez,Visual and Performing Arts,male,51,Full Professor,85,4420,162501
Robert Franklin,Visual and Performing Arts,male,2,Assistant Professor,27,297,66606
Jimmy Washington,Visual and Performing Arts,male,2,Assistant Professor,27,837,68354
Charles Moore,Visual and Performing Arts,male,17,Associate Professor,54,756,81514
Julio Fisher,Visual and Performing Arts,male,10,Associate Professor,65,8320,147542
Michael Huggins,Visual and Performing Arts,male,56,Full Professor,87,20532,300000
Jeff Travis,Visual and Performing Arts,male,57,Full Professor,74,28860,300000
Thomas Buffkin,Visual and Performing Arts,male,8,Associate Professor,45,1215,81864
Arnold Dameron,Visual and Performing Arts,male,40,Full Professor,92,2668,134774
Antoine Brown,Visual and Performing Arts,male,64,Full Professor,72,6984,194973
Adam Brown,Visual and Performing Arts,male,54,Full Professor,92,1564,125774
Charles Jozwick,Visual and Performing Arts,male,1,Assistant Professor,23,3381,105173
Elmo Hibbler,Visual and Performing Arts,male,3,Assistant Professor,26,806,68661
Raymond Holmes,Visual and Performing Arts,male,17,Associate Professor,62,19406,275775
James Gabriel,Visual and Performing Arts,male,14,Associate Professor,47,1269,90582
Bessie Wilkowitz,Social Sciences,female,5,Assistant Professor,35,4165,117775
Dorothy Sipe,Social Sciences,female,37,Full Professor,72,4896,165592
Elizabeth Skelly,Social Sciences,female,55,Full Professor,91,1092,150857
June Mallory,Social Sciences,female,14,Associate Professor,47,5593,146789
Margaret Rempe,Social Sciences,female,12,Associate Professor,54,2052,108211
Sandra Peavy,Social Sciences,female,61,Full Professor,78,390,145679
Gillian Anast,Social Sciences,female,32,Full Professor,89,13083,237906
Marie Quesada,Social Sciences,female,16,Associate Professor,43,1290,109112
Betty Degaetano,Social Sciences,female,63,Full Professor,82,5822,203589
Erma Schoenberger,Social Sciences,female,9,Associate Professor,62,12834,216945
Mary Schmidt,Social Sciences,female,1,Assistant Professor,33,2343,94277
Linda Parilla,Social Sciences,female,3,Assistant Professor,15,1215,95498
Carissa Cruce,Social Sciences,female,62,Full Professor,87,6351,209920
Kerri Shaffer,Social Sciences,female,14,Associate Professor,69,552,94707
Shirley Hugle,Social Sciences,female,58,Full Professor,81,31509,300000
Tamara Jacobson,Social Sciences,female,13,Associate Professor,45,5850,148125
Deena Martinez,Social Sciences,female,55,Full Professor,73,7081,203028
Barbara Shaffer,Social Sciences,female,12,Associate Professor,50,11800,221221
Alison Goins,Social Sciences,female,17,Associate Professor,41,6109,154641
Theresa Myers,Social Sciences,female,11,Associate Professor,45,1440,119964
Whitney Parks,Social Sciences,female,17,Full Professor,78,14742,263100
Joseph Jepson,Social Sciences,male,14,Associate Professor,55,6545,149020
Richard Childers,Social Sciences,male,35,Full Professor,77,1078,109180
William Ruano,Social Sciences,male,64,Full Professor,96,5472,183556
James Steiner,Social Sciences,male,26,Full Professor,78,14742,236494
Vernon Lester,Social Sciences,male,61,Full Professor,98,7938,208468
Michael Carson,Social Sciences,male,30,Full Professor,80,5680,153411
Jacob Leonard,Social Sciences,male,3,Assistant Professor,26,442,74320
Wesley Sipes,Social Sciences,male,9,Associate Professor,53,1431,91320
Amos Stearns,Social Sciences,male,1,Assistant Professor,32,1056,81074
Joe Carey,Social Sciences,male,58,Full Professor,80,10480,225777
Greg Rodriguez,Social Sciences,male,14,Associate Professor,64,9024,171329
David Kirkland,Social Sciences,male,8,Associate Professor,56,952,87615
Elliott Christensen,Social Sciences,male,8,Associate Professor,56,1736,89141
Mark Honea,Social Sciences,male,20,Full Professor,84,2520,106537
Wayne Torres,Social Sciences,male,17,Associate Professor,67,6499,147063
Robert Rodriguez,Social Sciences,male,5,Assistant Professor,20,380,76038
Daniel Steere,Social Sciences,male,45,Full Professor,87,3741,163725
Orville Maher,Social Sciences,male,52,Full Professor,71,4473,165612
Richard Scott,Social Sciences,male,11,Associate Professor,69,2760,102017
Lyle Farmer,Social Sciences,male,7,Associate Professor,49,12887,210660
Jesse Lara,Social Sciences,male,25,Full Professor,95,2945,119654
Robert Mcgee,Social Sciences,male,53,Full Professor,82,24190,300000
James Mitchell,Social Sciences,male,11,Associate Professor,47,564,93675
Daniel Banda,Social Sciences,male,17,Associate Professor,48,6144,144751
Earnest Opteyndt,Social Sciences,male,58,Full Professor,73,22046,300000
Dennis Grisson,Social Sciences,male,3,Assistant Professor,20,1280,85486
Mitchell Monroe,Social Sciences,male,21,Full Professor,79,1185,94722
John Holloway,Social Sciences,male,35,Full Professor,87,2610,131988
Peter Kong,Social Sciences,male,50,Full Professor,76,14136,252620
Kayla Gomez,History,female,27,Full Professor,75,26475,300000
Joanne Johnson,History,female,1,Assistant Professor,14,7560,140402
Cheryl Dolan,History,female,1,Assistant Professor,16,272,68179
Beatrice Bolden,History,female,10,Associate Professor,61,671,92555
Patricia Littlejohn,History,female,31,Full Professor,83,2490,127148
Ella Shank,History,female,16,Associate Professor,63,4473,127935
Dawn Whitlock,History,female,55,Full Professor,82,2706,153988
Lisa Shy,History,female,6,Assistant Professor,28,3220,117201
Janice Terrance,History,female,36,Full Professor,99,13959,251173
Annita Alvarado,History,female,65,Full Professor,98,5978,201692
Linda Pollard,History,female,15,Full Professor,80,10480,190282
Andrea Atkins,History,female,17,Full Professor,78,5538,139294
Rene Parker,History,female,58,Full Professor,80,9680,222535
Judith Hightower,History,female,2,Assistant Professor,36,5076,120564
Blanche Williams,History,female,64,Full Professor,98,4312,176516
Joshua Gerrior,History,male,15,Associate Professor,67,2211,97484
Douglas Marie,History,male,16,Full Professor,94,470,86662
Brian Mccallister,History,male,3,Assistant Professor,27,513,67467
Bruce Caldwell,History,male,32,Full Professor,71,3692,126123
Ricardo Garstka,History,male,50,Full Professor,79,31126,300000
David Rolland,History,male,32,Full Professor,88,1232,102779
Ronald Moton,History,male,20,Full Professor,89,1424,101974
Dennis Smiley,History,male,64,Full Professor,73,15111,274596
Jonathan Olivares,History,male,29,Full Professor,75,1050,96710
Alfred Morgan,History,male,2,Assistant Professor,32,928,85439
Gerry Null,History,male,44,Full Professor,86,27778,300000
Thomas Keller,History,male,1,Assistant Professor,39,5187,110848
Vincent White,History,male,48,Full Professor,75,2400,129269
David Ross,History,male,62,Full Professor,79,42660,300000
Sterling Booker,History,male,3,Assistant Professor,35,245,65976
Dallas Crosby,History,male,7,Associate Professor,44,1672,78942
Joshua Wiggs,History,male,1,Assistant Professor,22,704,72160
William German,History,male,7,Associate Professor,43,688,71322
Samuel Lowe,History,male,39,Full Professor,76,836,108414
David Vick,History,male,11,Associate Professor,43,5848,126661
Katherine Edwards,Communication and Journalism,female,7,Associate Professor,69,828,91835
Hope Willson,Communication and Journalism,female,10,Associate Professor,48,1392,97805
Michelle Stellman,Communication and Journalism,female,45,Full Professor,97,7081,190407
Melissa Wilson,Communication and Journalism,female,53,Full Professor,73,7081,198023
Deborah Miller,Communication and Journalism,female,58,Full Professor,84,2268,150956
Sally Campbell,Communication and Journalism,female,27,Full Professor,82,24764,300000
Nancy Ferree,Communication and Journalism,female,54,Full Professor,88,1056,133763
Marie Meikle,Communication and Journalism,female,19,Full Professor,81,19116,290913
Vera Linsky,Communication and Journalism,female,0,Assistant Professor,20,6260,127507
Elizabeth Bingham,Communication and Journalism,female,1,Assistant Professor,26,988,80847
Amanda Coronel,Communication and Journalism,female,2,Assistant Professor,37,19980,267478
Elizabeth Rose,Communication and Journalism,female,8,Associate Professor,55,12980,220195
Betty James,Communication and Journalism,female,30,Full Professor,84,2520,123505
Michelle Gaines,Communication and Journalism,female,16,Associate Professor,40,1560,103027
Jesus Judd,Communication and Journalism,male,15,Associate Professor,44,4268,115441
Sheldon Turner,Communication and Journalism,male,54,Full Professor,85,680,122269
Theodore Dufrene,Communication and Journalism,male,2,Assistant Professor,14,658,76680
Stephen Tennies,Communication and Journalism,male,8,Associate Professor,54,3942,108742
Robert Cyrus,Communication and Journalism,male,11,Associate Professor,41,2009,106114
Morris Heredia,Communication and Journalism,male,1,Assistant Professor,33,891,69635
Donald Gardner,Communication and Journalism,male,60,Full Professor,93,30039,300000
Herman Snavely,Communication and Journalism,male,28,Full Professor,70,2660,131137
Edward Villar,Communication and Journalism,male,3,Assistant Professor,18,5256,138011
Antonio Scott,Communication and Journalism,male,5,Assistant Professor,19,4997,118275
Robert Cohran,Communication and Journalism,male,3,Assistant Professor,29,928,79839
Ralph Fields,Communication and Journalism,male,14,Associate Professor,60,8940,161753
Jeremy Cliff,Communication and Journalism,male,28,Full Professor,88,20768,293146
Roy Vaughn,Communication and Journalism,male,42,Full Professor,77,8470,190546
Jeffrey Gribble,Communication and Journalism,male,9,Associate Professor,65,780,81817
Jack Couch,Communication and Journalism,male,0,Assistant Professor,15,885,68191
Denise Heidt,Mathematics and Statistics,female,59,Full Professor,70,2100,162809
Nancy Murphy,Mathematics and Statistics,female,17,Associate Professor,58,174,93254
Catherine Tucker,Mathematics and Statistics,female,7,Associate Professor,63,14868,238104
Maria Fulop,Mathematics and Statistics,female,56,Full Professor,71,852,144548
Barbara Hilliard,Mathematics and Statistics,female,15,Associate Professor,67,15678,263179
Teresa Haldeman,Mathematics and Statistics,female,5,Assistant Professor,15,1215,97596
Sonja Ingle,Mathematics and Statistics,female,17,Associate Professor,52,3952,138753
Ashley Parks,Mathematics and Statistics,female,5,Assistant Professor,29,4408,132646
Lillian Island,Mathematics and Statistics,female,5,Assistant Professor,32,608,89068
Lynda Scott,Mathematics and Statistics,female,12,Associate Professor,61,1830,106505
Clara Sebald,Mathematics and Statistics,female,57,Full Professor,90,29070,300000
Jessica Heinrich,Mathematics and Statistics,female,14,Associate Professor,58,986,100770
Amy Shin,Mathematics and Statistics,female,13,Associate Professor,44,13156,225346
Cassie Moore,Mathematics and Statistics,female,56,Full Professor,99,495,141126
Emily Kirk,Mathematics and Statistics,female,8,Associate Professor,40,2720,119315
Theresa Haider,Mathematics and Statistics,female,17,Associate Professor,43,2021,121350
Jazmine Cyr,Mathematics and Statistics,female,0,Assistant Professor,11,154,73278
Betty Stone,Mathematics and Statistics,female,16,Associate Professor,65,325,97165
Lu Perez,Mathematics and Statistics,female,1,Assistant Professor,37,6882,140547
Olive Denny,Mathematics and Statistics,female,3,Assistant Professor,35,4865,126954
Norma Acoff,Mathematics and Statistics,female,8,Associate Professor,50,14950,232474
Helen Hundley,Mathematics and Statistics,female,14,Associate Professor,66,1914,120664
Pam Guzman,Mathematics and Statistics,female,64,Full Professor,84,924,150317
Nancy Byrd,Mathematics and Statistics,female,13,Associate Professor,67,2613,113590
Janice Boehmke,Mathematics and Statistics,female,14,Associate Professor,46,9476,209428
Lola Seago,Mathematics and Statistics,female,57,Full Professor,70,1050,149362
Jill Detwiler,Mathematics and Statistics,female,23,Full Professor,97,13483,237727
Edna Gardner,Mathematics and Statistics,female,2,Assistant Professor,33,1056,84800
Jeanne Janeway,Mathematics and Statistics,female,21,Full Professor,94,5546,159241
Nicky Cotton,Mathematics and Statistics,female,28,Full Professor,99,3861,143386
Emma Malone,Mathematics and Statistics,female,13,Associate Professor,52,884,108912
Stefanie Medlock,Mathematics and Statistics,female,5,Assistant Professor,25,13500,218812
Laura West,Mathematics and Statistics,female,29,Full Professor,87,16095,281470
Bessie Teasley,Mathematics and Statistics,female,33,Full Professor,76,10564,217738
Shu Reyes,Mathematics and Statistics,female,12,Associate Professor,46,6762,163544
Judy Clouse,Mathematics and Statistics,female,17,Associate Professor,50,500,106415
Bonnie Held,Mathematics and Statistics,female,53,Full Professor,75,23475,300000
Norma Coble,Mathematics and Statistics,female,43,Full Professor,97,12901,251575
Carmen Martin,Mathematics and Statistics,female,20,Full Professor,77,3080,125306
Elizabeth Helfrich,Mathematics and Statistics,female,19,Full Professor,94,33182,300000
Ruby Veal,Mathematics and Statistics,female,58,Full Professor,96,2880,170958
Christy Oconnell,Mathematics and Statistics,female,15,Associate Professor,63,1071,113678
Rachel Glenn,Mathematics and Statistics,female,0,Assistant Professor,38,1254,92537
Keith Robinson,Mathematics and Statistics,male,22,Full Professor,76,4788,146011
Jason Donahue,Mathematics and Statistics,male,65,Full Professor,94,19458,300000
Jose Thompson,Mathematics and Statistics,male,1,Assistant Professor,31,496,73245
Thomas Wilder,Mathematics and Statistics,male,9,Associate Professor,64,1856,101399
Howard Taylor,Mathematics and Statistics,male,43,Full Professor,80,21040,300000
Rodolfo Hicks,Mathematics and Statistics,male,52,Full Professor,90,1440,130712
Cristobal Louis,Mathematics and Statistics,male,2,Assistant Professor,18,180,81329
Juan Saiz,Mathematics and Statistics,male,25,Full Professor,96,1344,101054
John Fields,Mathematics and Statistics,male,10,Associate Professor,49,441,79988
Rodrigo James,Mathematics and Statistics,male,10,Associate Professor,63,8568,170953
Kyle Barrera,Mathematics and Statistics,male,1,Assistant Professor,34,1292,95464
Nicholas Strickland,Mathematics and Statistics,male,43,Full Professor,81,2592,136663
Ryan Parks,Mathematics and Statistics,male,10,Associate Professor,60,840,86818
Dan Kapp,Mathematics and Statistics,male,40,Full Professor,87,6351,164004
David Jordan,Mathematics and Statistics,male,10,Associate Professor,43,1419,93556
Johnny Seiler,Mathematics and Statistics,male,16,Associate Professor,63,3969,124299
Jack Diaz,Mathematics and Statistics,male,2,Assistant Professor,15,3105,115234
Glen Wilson,Mathematics and Statistics,male,0,Assistant Professor,23,437,72233
Daniel Richardson,Mathematics and Statistics,male,42,Full Professor,72,14832,264708
Forrest Treleven,Mathematics and Statistics,male,11,Associate Professor,54,594,86051
Albert Jarrell,Mathematics and Statistics,male,43,Full Professor,89,5607,164668
John Langham,Mathematics and Statistics,male,58,Full Professor,75,750,134418
Michael Neal,Mathematics and Statistics,male,12,Associate Professor,60,1920,104146
Thomas Jackson,Mathematics and Statistics,male,38,Full Professor,83,32287,300000
Richard Hinson,Mathematics and Statistics,male,16,Associate Professor,41,4879,128552
James Palczynski,Mathematics and Statistics,male,45,Full Professor,75,19725,300000
Clyde Garelik,Mathematics and Statistics,male,63,Full Professor,72,4104,170251
Bobby Raggs,Mathematics and Statistics,male,47,Full Professor,72,21024,300000
Anthony Coldwell,Mathematics and Statistics,male,8,Associate Professor,60,2820,109546
Ricardo Hansen,Mathematics and Statistics,male,59,Full Professor,89,5429,185629
Cory Dodson,Mathematics and Statistics,male,54,Full Professor,70,11550,235764
Dean Torres,Mathematics and Statistics,male,3,Assistant Professor,21,6279,138751
Joseph Wearing,Mathematics and Statistics,male,3,Assistant Professor,21,315,72111
Keith Decker,Mathematics and Statistics,male,14,Associate Professor,46,6992,154435
Daniel Lacefield,Mathematics and Statistics,male,17,Associate Professor,43,473,86423
Michael Edwards,Mathematics and Statistics,male,8,Associate Professor,42,462,92969
Thomas Escutia,Mathematics and Statistics,male,20,Full Professor,85,27455,300000
Ricky Lee,Mathematics and Statistics,male,7,Associate Professor,43,2021,93558
Robert Violette,Mathematics and Statistics,male,13,Associate Professor,45,1800,95270
Jeffrey Judy,Mathematics and Statistics,male,8,Associate Professor,61,4514,115996
Matthew Field,Mathematics and Statistics,male,2,Assistant Professor,10,3900,109586
Matthew Delp,Mathematics and Statistics,male,14,Associate Professor,47,2068,100879
Maurice Lemos,Mathematics and Statistics,male,0,Assistant Professor,39,2028,90621
Brian Bryant,Mathematics and Statistics,male,52,Full Professor,72,4536,158085
Michael Lewis,Mathematics and Statistics,male,13,Associate Professor,67,19765,274099
Kenneth Johnson,Mathematics and Statistics,male,8,Associate Professor,60,6900,140766
Jonathon Gier,Mathematics and Statistics,male,63,Full Professor,94,1598,140855
Joseph Cearns,Mathematics and Statistics,male,2,Assistant Professor,24,456,87884
Richard Lay,Mathematics and Statistics,male,19,Full Professor,78,23322,300000
Nicholas Kimbrough,Mathematics and Statistics,male,60,Full Professor,80,2640,150775
Steven Clark,Mathematics and Statistics,male,15,Associate Professor,45,11835,195893
John Johnson,Mathematics and Statistics,male,16,Associate Professor,53,16006,238542
William Knight,Mathematics and Statistics,male,7,Associate Professor,49,6811,138621
Wayne Ballou,Mathematics and Statistics,male,17,Associate Professor,68,1496,113545
Justin Godfrey,Mathematics and Statistics,male,11,Associate Professor,50,2850,107201
Ronald Hao,Mathematics and Statistics,male,11,Associate Professor,42,8694,160101
Robert Bangs,Mathematics and Statistics,male,8,Associate Professor,43,3483,107404
Michael Burns,Mathematics and Statistics,male,45,Full Professor,96,4992,173261
Marvin Rogers,Mathematics and Statistics,male,14,Associate Professor,57,16815,252459
David Brown,Mathematics and Statistics,male,33,Full Professor,96,3744,134027
Gerald Powers,Mathematics and Statistics,male,1,Assistant Professor,33,1716,93096
George Pye,Mathematics and Statistics,male,4,Assistant Professor,33,1452,102052
Harry Stacy,Mathematics and Statistics,male,60,Full Professor,92,1472,138959
Marvin Greer,Mathematics and Statistics,male,1,Assistant Professor,15,240,79849
Stephen Beale,Mathematics and Statistics,male,36,Full Professor,76,684,104591
Luis Poindexter,Mathematics and Statistics,male,16,Associate Professor,55,7755,165391
David Affolter,Mathematics and Statistics,male,61,Full Professor,82,2624,150950
Thomas Echols,Mathematics and Statistics,male,51,Full Professor,74,3182,152584
Anthony Constantino,Mathematics and Statistics,male,2,Assistant Professor,22,5148,119236
Carl Glover,Mathematics and Statistics,male,17,Associate Professor,43,5504,134181
Robert Motley,Mathematics and Statistics,male,44,Full Professor,70,980,116716
Steven Craver,Mathematics and Statistics,male,16,Associate Professor,41,14473,236115
Larry Walker,Mathematics and Statistics,male,11,Associate Professor,64,19136,269852
Douglas Villarreal,Mathematics and Statistics,male,3,Assistant Professor,33,10659,185579
Joseph Cardenas,Mathematics and Statistics,male,52,Full Professor,79,2291,142256
Tim Wasmer,Mathematics and Statistics,male,17,Full Professor,87,9570,185653
Wayne Hardin,Mathematics and Statistics,male,16,Full Professor,86,9460,180666
Luann Craig,Architecture and Urban Planning,female,10,Associate Professor,68,26452,300000
Tracey Snider,Architecture and Urban Planning,female,14,Associate Professor,64,2816,132011
Linsey Jones,Architecture and Urban Planning,female,9,Associate Professor,45,2835,115182
Kathryn Padgett,Architecture and Urban Planning,female,54,Full Professor,92,5796,191220
Laura Moore,Architecture and Urban Planning,female,16,Full Professor,84,8148,179796
Tracy Danielson,Architecture and Urban Planning,female,50,Full Professor,91,8827,215248
Nancy Mcelroy,Architecture and Urban Planning,female,1,Assistant Professor,26,494,75792
Joy Naiman,Architecture and Urban Planning,female,64,Full Professor,73,2336,172757
Amy Bayles,Architecture and Urban Planning,female,1,Assistant Professor,15,585,86327
Beverly Jackson,Architecture and Urban Planning,female,6,Assistant Professor,26,2990,107292
Angela Buker,Architecture and Urban Planning,female,4,Assistant Professor,35,665,83006
Betsy Nicley,Architecture and Urban Planning,female,15,Associate Professor,62,2728,134235
Katelyn Moreno,Architecture and Urban Planning,female,61,Full Professor,72,16992,300000
Connie Barfield,Architecture and Urban Planning,female,47,Full Professor,95,475,131484
Emily Lewis,Architecture and Urban Planning,female,9,Associate Professor,59,2537,130153
Rebecca Bray,Architecture and Urban Planning,female,9,Associate Professor,50,750,96360
Tracy Digennaro,Architecture and Urban Planning,female,46,Full Professor,90,1710,150682
Mary Duffy,Architecture and Urban Planning,female,0,Assistant Professor,26,2522,98944
Jessica Medina,Architecture and Urban Planning,female,26,Full Professor,76,2508,141034
Natasha Costales,Architecture and Urban Planning,female,11,Associate Professor,57,8493,181536
Laurie Thompson,Architecture and Urban Planning,female,4,Assistant Professor,20,620,80596
Laila Roberts,Architecture and Urban Planning,female,23,Full Professor,80,3120,132213
Carol Flores,Architecture and Urban Planning,female,25,Full Professor,72,21024,300000
Ruth Rosenbaum,Architecture and Urban Planning,female,14,Associate Professor,49,15337,242122
Lisa Johnson,Architecture and Urban Planning,female,6,Assistant Professor,39,624,89369
Shirley Knaebel,Architecture and Urban Planning,female,6,Assistant Professor,35,595,96611
